CHEMBL383340; [H][C@]12C[C@]1(CC[C@H]2N(CCCN1CCN(C)CC1)C(=O)NC1=CC(Cl)=C(F)C=C1)C1=CC=CC(NC(C)=O)=C1
CHEMBL369724; C[C@@H]1CCN(CCOC2=CC=C(C=C2)[C@@H]2OC3=C(C=C(O)C=C3)[C@@H](C)[C@@H]2C2=CC=C(O)C=C2)C1
CHEMBL368449; C[C@@H](COC1=CC=C(C=C1)[C@@H]1OC2=C(C=C(O)C=C2)[C@@H](C)[C@@H]1C1=CC=C(O)C=C1)N1CC[C@@H](C)C1
CHEMBL1766097; CC1=CC(=CC(C)=C1)C1=C(OCC[C@H]2CCCCN2)C2=CC(=C(Cl)C=C2N=C1)C1=CC(O)=CC=C1
CHEMBL362428; [H][C@]1(C)[C@@H]([C@@H](OC2=C1C=CC(O)=C2)C1=CC=C(OCCN2CCCCC2)C=C1)C1=CC=C(O)C=C1
CHEMBL183333; OC1=CC2=C(C=C1)[C@H]([C@H](SC2)C1=CC=CC=C1)C1=CC=C(OCCN2CCCC2)C=C1
CHEMBL1818811; COC1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)NC1=CC2=C(C=C1)C=C(CN1CCCC1)CC2
CHEMBL434950; CN1C=CC=C1CNC(=O)C1=C2CC3C4CCC5=CC(O)=CC=C5C4CC[C@]3(C)C2=NN1
CHEMBL180538; [H][C@@]1(C)[C@@H]([C@@H](OC2=C1C=CC(O)=C2)C1=CC=C(OCCN2CCCCC2)C=C1)C1=CC=C(O)C=C1
CHEMBL191646; OC1=CC=CC(=C1)N1CCC2=CC(O)=CC=C2C1C1=CC=C(C=C1)N1CCN(CC1)C1CCCCC1
CHEMBL371308; OC1=CC=C2C(SC3=C2N(CC2=CC=C(OCCN4CCCC4)C=C2)C2=C3C=CC=C2)=C1
CHEMBL577792; O=C1NC2=CC=CC=C2N1C1CCN(CC2=CC=C(C=C2)C2=C(N=CC(=O)N2)C2=CC=CC=C2)CC1
CHEMBL360315; C[C@@H](COC1=CC=C(C=C1)[C@@H]1OC2=C(C=C(O)C=C2)[C@@H](C)[C@@H]1C1=CC=C(O)C=C1)N1CCCC1
CHEMBL197585; CCN(CC)CCN1C=CC2=C(C)C3=NC4=CC=C(O)C=C4C3=C(C)C2=C1
CHEMBL46903; CC1=C(N(CCCCCCN2CCCC2)C2=CC=C(O)C=C12)C1=CC=C(O)C=C1
CHEMBL440560; O=C1NC2=CC=CC=C2N1C1CCN(CC2=CC=C(C=C2)C2=C(NC(=O)C=N2)C2=CC=CC=C2)CC1
CHEMBL2332070; COC1=CC=CC(CN(CCCN2CCCC2)C(=O)NC2=CC=C(C=C2)C2=CNN=C2)=C1
CHEMBL1766096; CC1=CC(=CC(C)=C1)C1=C(OCC[C@H]2CCCCN2)C2=CC(=C(Cl)C=C2N=C1)C1=CC=C(O)C=C1
CHEMBL195118; CC(C)CN1CCN(CC1)C1=CC=C(C=C1)C1N(CCC2=CC(O)=CC=C12)C1=CC(O)=CC=C1
CHEMBL195466; OC1=CC=C2C(N(CCC2=C1)C1=CC(O)=CC=C1)C1=CC=C(C=C1)N1CCN(CC1)C1CCCC1
CHEMBL2332074; COC1=CC=CC(CN(CCCN2CCCCC2)C(=O)NC2=CC=C(C=C2)C2=CNN=C2)=C1
CHEMBL100617; CC1(N(CCC2=CC(O)=CC=C12)C1=CC(O)=CC=C1)C1=CC=C(OCCN2CCCCC2)C=C1
CHEMBL1642746; CC1(C)CCC(CC1)NCC1=CC=C(C=C1)N1CCCC2=CC(=CC=C12)C(N)=O
CHEMBL244185; [H][C@@]12C[C@@]([H])(C(CN3CCC(CC3)NC(=O)NC3=CC=CC(OC)=C3)=CC1)C2(C)C
CHEMBL226327; OC1=CC=C2C(SC(=C2OC2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=CC=C2)=C1
CHEMBL389683; OC1=CC=C2C(SC(=C2OC2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(Br)C=C2)=C1
CHEMBL180146; C[C@H]1[C@@H]([C@@H](OC2=CC=C(O)C(F)=C12)C1=CC=C(OCCN2CCCCC2)C=C1)C1=CC=C(O)C=C1
CHEMBL195991; CCN(CC)CCOC1=CC=C(CN2C3=C(C=CC=C3)C3=C2C2=CC=C(O)C=C2S3)C=C1
CHEMBL101083; CC1(N(CCC2=CC(O)=CC=C12)C1=CC=C(F)C=C1)C1=CC=C(OCCN2CCCCC2)C=C1
CHEMBL178559; [H][C@]1(CC)[C@@H]([C@@H](OC2=C1C=C(O)C=C2)C1=CC=C(OCCN2CCCCC2)C=C1)C1=CC=C(O)C=C1
CHEMBL1256678; [H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=C(C=CC(OC)=C4)[C@@]3([H])CC[C@]12C)NCCCCCCN1C(=O)C=CC1=O
CHEMBL237103; [H][C@@]1(CC[C@@H](CC1)NC(=O)C(CC1=CC=CC=C1)N(C)C)C1=CC=C(O)C=C1
CHEMBL363412; OC1=CC=C2C(SC3=C2N(CC2=CC=C(OCCN4CCCCC4)C=C2)C2=C3C=CC=C2)=C1
CHEMBL226269; OC1=CC=C2C(SC(=C2OC2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(F)C=C2)=C1
CHEMBL438624; C[C@]12CCC3C(CCC4=CC(O)=CC=C34)C1CC1=C(NN=C21)C(=O)NCC1=NC=CC=C1
CHEMBL364060; C[C@]12CCC3C(CCC4=CC(O)=CC=C34)C1CC1=C(NN=C21)C(=O)NCC1=CC=CN=C1
CHEMBL360731; CN1CCC(CNC(=O)NC2=CC(Cl)=CC(Cl)=C2)(CC1)C1=CC=C(C=C1)C1=CC(C=O)=CC=C1
CHEMBL3262656; CCN(CC)CCCCOC1=CC=C(CC2NCCC3=CC(OC)=C(OC)C=C23)C=C1
CHEMBL1086871; OC1=CC=CC(=C1)C1=C2N=CC=C(N2N=C1C1=CC=NC=C1)C1=CC=C(N[C@H]2CN3CCC2CC3)C=C1
CHEMBL226268; OC1=CC=C(C=C1)C1=C(OC2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1
CHEMBL226329; NC1=CC=C(C=C1)C1=C(OC2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1
CHEMBL181936; C[C@H]1[C@@H]([C@@H](OC2=CC=C(O)C=C12)C1=CC=C(OCCN2CCCC2)C=C1)C1=CC=C(O)C=C1
CHEMBL180792; C[C@H](COC1=CC=C(C=C1)[C@@H]1OC2=CC=C(O)C=C2S[C@@H]1C1=CC=C(O)C=C1)N1CCCC1
CHEMBL171377; COC1=CC=C(C=C1)[C@@H](C)N[C@@H]1CC[C@@H](C(=O)N2CCC(CC2)(C2=CC=CC=C2)C2=CC=C(OC)N=C2)C(C)(C)C1
CHEMBL1818788; COC1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)NC1=CC2=C(CC(CN(C)C)CC2)C=C1
CHEMBL196283; CN(C)CCOC1=CC=C(CN2C3=C(C=CC=C3)C3=C2C2=CC=C(O)C=C2S3)C=C1
CHEMBL227051; CC1=C2C=C(C=CC2=NN1)C1=CC(OC[C@@H](N)CC2=C(C)C=C(C)C=C2C)=CN=C1
CHEMBL103294; CC1(N(CCC2=CC(O)=CC=C12)C1=CC=C(Cl)C=C1)C1=CC=C(OCCN2CCCCC2)C=C1
CHEMBL364492; CC(C)N1CCN(CC1)C1=CC=C(C=C1)C1N(CCC2=CC(O)=CC=C12)C1=CC(O)=CC=C1
CHEMBL390020; OC1=CC=CC(=C1)C1=C(OC2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2C=C1
CHEMBL244000; OC1=CC=C(C=C1)C1=C(OC2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2C=C1
CHEMBL497949; NC(=O)C1=CC2=C(C=C1)C(C(=NC1=CC=C(CN3CCCCC3)C=C1)C1=CC=CC=C1)C(=O)N2
CHEMBL250516; COC1=CC=C2C(C)=CC(N[C@H]3CCC[C@@H](C3)NCC3=CSC=C3)=NC2=C1
CHEMBL250326; COC1=CC=C(Br)C(CN[C@H]2CCC[C@@H](C2)NC2=NC3=CC(OC)=CC=C3C(C)=C2)=C1
CHEMBL387368; CNC[C@@H](CC1=CC=CC=C1)N(C)C[C@H](CC1=CC=C(O)C=C1)N(C)C[C@@H](CC1=CC=C(O)C=C1)N(C)C
CHEMBL386531; CN(C)[C@H](CN(C)[C@H](CNCC1=CC=CC=C1)CC1=CC=C(O)C=C1)CC1=CC=C(O)C=C1
CHEMBL392892; [O-][N+](=O)C1=CC=C(C=C1)C1CN2CCCC2C2=C1C=CC(OCCCN1CCCCC1)=C2
CHEMBL2048772; [H][C@@]12CC3=CC=C(NCC4=CC=CC(O)=C4)C=C3[C@]3(CCCC[C@@]13[H])CCN2CC1CC1
CHEMBL244205; OC1=CC=C2C(C=CC(C3=CC=C(F)C=C3)=C2OC2=CC=C(OCCN3CCCCC3)C=C2)=C1
CHEMBL184202; OC1=CC=C(C=C1)[C@H]1SC2=C(O[C@H]1C1=CC=C(OCCN3CC4CC4C3)C=C1)C=CC(O)=C2
CHEMBL361751; OC1=CC=C(C=C1)[C@H]1SC2=C(O[C@H]1C1=CC=C(OCCCN3CCCC3)C=C1)C=CC(O)=C2
CHEMBL469511; OC1=CC=C(C=C1)C1=C(C2=CC=C(OCCN3CCCC3)C=C2)C2=C(OCC1)C=C(O)C=C2
CHEMBL250123; COC1=CC=C2C(C)=CC(N[C@H]3CCC[C@@H](C3)NCC3=CC=C(Cl)C(Cl)=C3)=NC2=C1
CHEMBL103305; CC1(N(CCC2=CC(O)=CC=C12)C1=CC(Cl)=CC=C1)C1=CC=C(OCCN2CCCCC2)C=C1
CHEMBL425669; CC(C)N(CCN([C@@H]1CC[C@@]2(CC2C1)C1=CC(=CC=C1)C(N)=O)C(=O)NC1=CC(Cl)=C(F)C=C1)C(C)C
CHEMBL517014; [H][C@@]12CCCN(CCN3CCN(CC3)C3=CC=CC(Cl)=C3Cl)[C@]1([H])CC1=C(C2)C=CC(O)=C1
CHEMBL2332096; COC1=CC=CC(CNC(=O)N(CCCN(C)C)C2=CC=C(C=C2)C2=CNN=C2)=C1
CHEMBL2332073; COC1=CC=CC(CN(CCN2CCCCC2)C(=O)NC2=CC=C(C=C2)C2=CNN=C2)=C1
CHEMBL398964; COC1=CC=C2C(C)=CC(N[C@H]3CCC[C@@H](C3)NCC3=CC=C(C=C3Cl)S(C)(=O)=O)=NC2=C1
CHEMBL393516; COC1=CC=C(C=C1)C1CN2CCCC2C2=CC(OCCCN3CCCCC3)=CC=C12
CHEMBL249985; COC1=CC=C(C=C1)C1=CC=C(CCNC(=O)C2=CC=C3CC4[C@H](C)[C@](C)(CCN4CC4CC4)C3=C2)C=C1
CHEMBL474619; COC1=C(C=CC(O)=C1)C1=CC=C2C(NN=C2C2=NC3=C(C=CC=C3N2)N2CCN(C)CC2)=C1
CHEMBL485955; CN1CCC(CC1)C(=O)N[C@@H](CCCCCC(C)=O)C1=NC(=CN1)C1=C(Cl)C=CC=C1
CHEMBL183092; CC[C@@H](CN1CCCC1)OC1=CC=C(C=C1)[C@@H]1OC2=C(S[C@@H]1C1=CC=C(O)C=C1)C=C(O)C=C2
CHEMBL1766090; CC1=CC(=CC(C)=C1)C1=C(OCC[C@H]2CCCCN2)C2=CC(=C(Cl)C=C2N=C1)C1=CNC(=O)C=C1
CHEMBL1766099; CC1=CC(=CC(C)=C1)C1=C(OCC[C@H]2CCCCN2)C2=CC(=C(Cl)C=C2N=C1)C1=CC=C(C=C1)C(N)=O
CHEMBL2112474; CC(C)[C@@H](CN1CC[C@](C)([C@@H](C)C1)C1=CC(O)=CC=C1)NC(=O)[C@H]1CC2=C(CN1C(=O)CN(C)C)C=C(O)C=C2
CHEMBL369322; CC(C)C1=C2N(C=C1OCCCN1CCCCC1)N=CN=C2NC1=CC=C(C)C(O)=C1
CHEMBL235824; [H][C@]1(CN(C)CC2=CC(OCCCN3CCC(F)CC3)=CC=C12)C1=CC=C(OC)C=C1
CHEMBL397357; [H][C@]1(CC2=CC=CC=C2CN1C(=O)[C@@H](N)CC1=C(C)C=C(O)C=C1C)C(=O)NCCCC[C@H](NC(C)=O)C1=NC2=CC=CC=C2N1
CHEMBL2048779; [H][C@@]12CC3=CC=C(C=C3[C@]3(CCCC[C@@]13[H])CCN2CC1CCC1)N(C)CC1=CC=CC(O)=C1
CHEMBL191711; OC1=CC=CC(=C1)N1CCC2=CC(O)=CC=C2C1C1=CC=C(C=C1)N1CCN(CC2CC2)CC1
CHEMBL391669; OC1=CC=CC(=C1)C1CN2CCCC2C2=CC(OCCCN3CCCCC3)=CC=C12
CHEMBL2333732; OC1=CC=C(C=C1)N1CCN(CC2=CN(N=C2)C2=CC=C(Cl)C=C2)CC1
CHEMBL370849; OC1=CC2=C(C=C1)N(CC1=CC=C(OCCN3CCCC3)C=C1)C1=C2SC2=CC(O)=CC=C12
CHEMBL1774068; FC1=C(Cl)C(=CC=C1)N1CCN(CCCCOC2=NC3=C(CCC(=O)N3)C=C2)CC1
CHEMBL2332069; COC1=CC=CC(CN(CCN2CCCC2)C(=O)NC2=CC=C(C=C2)C2=CNN=C2)=C1
CHEMBL250122; COC1=CC=C2C(C)=CC(N[C@H]3CCC[C@@H](C3)NCC3=NC=CN=C3)=NC2=C1
CHEMBL2206477; COC1=CC=C(C=C1)C1=CSC(=N1)C1(CCS(=O)(=O)CC1)NC(=O)C[C@H](N)CC1=C(F)C=CC=C1
CHEMBL1940542; COC1=CC=C(C=C1)C1(CCC1)N[C@@H]1CC[C@@H]([C@H](C1)C1=CSC=C1)C(=O)N1CCN(CC1)C1=NN=C(Br)S1
CHEMBL1922226; COC1=CC=C(C=C1)C(=O)NC1=C(NC(=O)C2=CC=C(C=C2)N2CCCN(C)CC2)C=CC=C1
CHEMBL2208354; COC1=CC2=CC=C(CCNC(=O)C3=CC4=C(CC5C(C)C4(C)CCN5CC4CC4)C=C3)C=C2C=C1
CHEMBL2013232; COC1=CC(F)=C(\C=C(/C)CN(CCC2CCCN2C)C(=O)C2=CC(OC)=C(OC)C(OC)=C2)C=C1
CHEMBL583843; COC1=C(OC2=C(CN3CCC4(CC3)CCN(CC4)C(=O)C3=CC=CNC3=O)C=CC=C2)C=CC=C1
CHEMBL519892; CN1CCC(CC1)C(=O)N[C@@H](CCCCCC(C)=O)C1=NC(=CN1)C1=CC=CC=C1
CHEMBL282444; CCN(CC)CCCNC1=NC=CC2=C(C)C3=C(C4=C(N3)C=CC(O)=C4)C(C)=C12
CHEMBL2208349; CC1C2CC3=C(C=C(C=C3)C(=O)NCCC3=CC=C(C=C3)C3=CC=CC=C3O)C1(C)CCN2CC1CC1
CHEMBL174502; CC1=CC=C(C=C1)N1CCC2=CC(O)=CC=C2C1(C)C1=CC=C(OCCN2CCCCC2)C=C1
CHEMBL1258087; CC1=CC2=C(C=C1OCCCCN1CCN(CC1)C1=C3C=CC(F)=CC3=CC=C1)C(=O)NC2
CHEMBL1914853; CC(=O)NC1CC2=CC=C(C=C2C1)C(=O)CCCN1CCC(CC1)C1=CC=C(Cl)C=C1
CHEMBL375803; [H][C@@]12CN(CC3=CC=C(O)C=C3)CCN1C[C@H](C)[C@@](C)(C2)C1=CC(O)=CC=C1
CHEMBL218909; [H][C@@]12CN(CC3=CC(O)=CC=C3)CCN1C[C@H](C)[C@@](C)(C2)C1=CC(O)=CC=C1
CHEMBL472488; [H][C@@]12CC[C@@](C)([C@@H](C1)NC1CCN(CC3=CC=CC(OC)=C3)CC1)C2(C)C
CHEMBL2048761; [H][C@@]12CC3=CC=C(NCC4=CC=CC(OC)=C4)C=C3[C@]3(CCCC[C@@]13[H])CCN2CC1CCC1
CHEMBL2048769; [H][C@@]12CC3=CC=C(NCC4=CC=CC(O)=C4)C=C3[C@]3(CCCC[C@@]13[H])CCN2CC1CCC1
CHEMBL244207; OC1=CC=C2C(C=CC(C3=CCS(=O)(=O)CC3)=C2OC2=CC=C(OCCN3CCCCC3)C=C2)=C1
CHEMBL238751; OC1=CC=C(C=C1)C1CN2CCCC2C2=CC(OCCCN3CCCCC3)=CC=C12
CHEMBL2391483; O=C(CN1CCN(CCCCOC2=CC=C3C=CC(=O)OC3=C2)CC1)NC1=C2CCCCC2=NC2=CC=CC=C12
CHEMBL250272; NCCCC1=CC2=C(C(=O)NC=C2C2=CC=C(Cl)C=C2)C2=CC(=CC=C12)C1=CNN=C1
CHEMBL3235735; NC(=O)[C@@H]1CCCN1C(=O)CCCCCN1CCN(CC1)C1=CC=CC=C1F
CHEMBL235155; NC(=O)C1=CN=C(OC2=CC3=C(CN(CC4=CC=CC=C4)CC3)C=C2)C=C1
CHEMBL2165125; ClC1=CC=CC(C2CCN(CCCCOC3=CC=C4CCC(=O)NC4=C3)CC2)=C1Cl
CHEMBL191645; ClC1=CC(Cl)=C(C[C@@H](NCC2CC2)C(=O)N2CCN(CC2)C2=C(CNCCC3=CC=CS3)C=CC=C2)C=C1
CHEMBL183044; C[C@H](CN1CCCC1)OC1=CC=C(C=C1)[C@@H]1OC2=C(S[C@@H]1C1=CC=C(O)C=C1)C=C(O)C=C2
CHEMBL183584; C[C@@H]1CCN(CCOC2=CC=C(C=C2)[C@@H]2OC3=C(S[C@@H]2C2=CC=C(O)C=C2)C=C(O)C=C3)C1
CHEMBL183489; C[C@@H]1CCCN1CCOC1=CC=C(C=C1)[C@@H]1OC2=C(S[C@@H]1C1=CC=C(O)C=C1)C=C(O)C=C2
CHEMBL181944; C[C@@H](CN1CCCC1)OC1=CC=C(C=C1)[C@@H]1OC2=C(S[C@@H]1C1=CC=C(O)C=C1)C=C(O)C=C2
CHEMBL3235728; CSC1=CC=CC=C1N1CCN(CCCCCCC(=O)N2CCC[C@H]2C(N)=O)CC1
CHEMBL390448; CS(=O)(=O)C1CCC(=CC1)C1=C(OC2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2C=C1
CHEMBL243789; CS(=O)(=O)C1=CC=C(C=C1)C1=CC=C2C=C(O)C=CC2=C1OC1=CC=C(OCCN2CCCCC2)C=C1
CHEMBL250327; COC1=CC=C2C(C)=CC(N[C@H]3CCC[C@@H](C3)NCC3=CC=CC4=NSN=C34)=NC2=C1
CHEMBL249716; COC1=CC=C2C(C)=CC(N[C@H]3CCC[C@@H](C3)NCC3=CC4=NSN=C4C=C3)=NC2=C1
CHEMBL2010828; COC1=CC=C(\C=C(/C)CN(CCC2CCCN2C)C(=O)C2=CC(OC)=C(OC)C=C2)C(F)=C1
CHEMBL147071; COC1=CC=C(NC(=O)C2=CC=C(C=C2)C2=C(C)C=C(C=C2)C(N)=O)C=C1N1CCN(C)CC1
CHEMBL3116280; COC1=CC=C(COC2=NN(CCN(C(C)C)C(C)C)C3=CC=CC=C23)C=C1
CHEMBL386162; COC1=CC=C(CC(C)C(=O)N2CCN(CC2)C2=CC=C(Cl)C=C2[C@@H](N)CC(C)C)C=C1
CHEMBL2158724; COC1=CC=C(C=C1)N1CCN(CCC(OC(N)=O)C2=CC=CC=C2)CC1
CHEMBL3218884; COC1=CC=C(C=C1)N1C=C2N=C(N(CC3CCCN(C3)C(C)C)C(=O)C2=N1)C1=CC=CC=C1C
CHEMBL226267; COC1=CC=C(C=C1)C1=C(OC2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1
CHEMBL217182; COC1=CC2=C(CC(CC2)N(CCCN2CCN(C)CC2)C(=O)NC2=CC=C(F)C(Cl)=C2)C=C1
CHEMBL221453; COC1=CC2=C(C=C1)C(CCC2)NC(=O)CCCN1CCN(CC1)C1=C(OC)C=CC=C1
CHEMBL3104342; COC1=CC(=CC=C1)C1=CC=C(C=C1)[C@@H]1C[C@H]1NCC(=O)N1CCN(C)CC1
CHEMBL229930; COC(=O)C1=CC=CC(=C1)[C@@]12CC1C[C@@H](CC2)N(CCN(C(C)C)C(C)C)C(=O)NC1=CC(F)=C(F)C=C1
CHEMBL379992; CNC[C@H](CC1=CC=CC=C1)N(C)C[C@H](CC1=CC=C(O)C=C1)N(C)C[C@@H](CC1=CC=C(O)C=C1)N(C)C
CHEMBL366703; CN1CCC(CNC(=O)NC2=CC(Cl)=CC(Cl)=C2)(CC1)C1=CC=C(C=C1)C1=CC(NC(C)=O)=CC=C1
CHEMBL520526; CN1CCC(CC1)C(=O)N[C@@H](CCCCCC(C)=O)C1=NC(=CN1)C1=CC=C(Cl)C=C1
CHEMBL485723; CN1CCC(CC1)C(=O)N[C@@H](CCCCCC(C)=O)C1=NC(=CN1)C1=CC=C(Br)C=C1
CHEMBL487975; CN1CCC(CC1)C(=O)N[C@@H](CCCCCC(C)=O)C1=NC(=CN1)C1=CC(Cl)=CC=C1
CHEMBL2332059; CN(C)CCC(NC(=O)NC1=CC=C(C=C1)C1=CNN=C1)C1=CC=CC=C1
CHEMBL434346; CN(C)C1=CC=CC(=C1)N1CCC2=CC(O)=CC=C2C1C1=CC=C(OCCN2CCCCC2)C=C1
CHEMBL411226; CC[C@]1(CCCCN(CCN2CCCC[C@](CC)(C2)C2=CC=CC(O)=C2)C1)C1=CC(O)=CC=C1
CHEMBL183086; CC[C@H](CN1CCCC1)OC1=CC=C(C=C1)[C@@H]1OC2=C(S[C@@H]1C1=CC=C(O)C=C1)C=C(O)C=C2
CHEMBL1257971; CC1=CC2=C(C=C1OCCCCN1CCN(CC1)C1=C3C(F)=CC=CC3=CC=C1)C(=O)NC2
CHEMBL211084; CC1=C2C=C(C=CC2=NN1)C1=CN=CC(OCC[C@@H](N)CC2=CC=CC=C2)=C1
CHEMBL76914; CC1=C(N2CC(CCN3CCN(CC3)C3=NC=CC=C3)OC3=C2C1=CC=C3)C1=CC=C(O)C=C1
CHEMBL2112473; CC(C)[C@@H](CN1CC[C@](C)([C@@H](C)C1)C1=CC(O)=CC=C1)NC[C@H]1CC2=C(CN1)C=C(O)C=C2
CHEMBL243970; CC(C)C1=CC=C(C=C1)C1=C(OC2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1
CHEMBL1203983; CC(=O)NC1=CC=C2C(C(=NC3=CC=C(CN4CCCCC4)C=C3)C3=CC=CC=C3)C(=O)NC2=C1
